city_name,locality,locality_id,boundary_polygon,locality_np_target_mtd,locality_np_days_active,impressions,clicks,total_project_pdp_session,paid_leads,expected_leads,lead_gap,np_target_not_met,conversion,locality_demand_status
Noida,Sector 73,6b6b6c204323f2ed6253,"POLYGON((8615628.31760775 3322619.65101562,8615391.87500931 3323145.24557059,8615269.98016688 3323479.55274536,8615119.47621533 3323434.16659985,8615035.87527775 3323577.55184922,8614940.36315465 3323728.03829248,8614809.00615551 3324136.52817312,8614689.56034189 3324074.40444792,8614620.31961862 3324048.16043061,8614481.72685258 3324045.75156204,8614412.48612931 3324029.01627667,8613930.02745621 3323794.85126814,8613970.54775085 3323620.52969127,8613946.72537983 3323465.22693413,8613855.88867534 3323443.80163458,8613913.2182131 3323252.62356326,8613946.72537983 3323250.34161345,8614008.84165569 3323216.87306115,8614106.6914881 3323145.24557059,8614066.17119345 3323018.59896724,8614187.95471638 3322951.66311035,8614137.74962603 3322891.95356711,8614142.53636413 3322875.21973036,8614116.2649643 3322827.55376505,8614049.36195034 3322844.16077085,8613999.26817948 3322844.16077085,8613989.69470327 3322777.35256033,8613987.24567447 3322758.21023155,8614027.87728862 3322772.53528295,8614049.36195034 3322779.76119968,8614223.79959241 3322538.51911485,8614219.01285431 3322388.04609969,8614278.68010137 3322397.55361146,8614331.22290103 3322335.43799043,8614424.39731482 3322282.83008875,8614493.74935758 3322235.1662414,8614577.35029517 3322328.21231453,8614689.56034189 3322237.44801744,8614875.90916948 3322476.40283705,8614914.09175482 3322399.96218219,8614949.93663085 3322373.59469478,8614983.33247809 3322344.94546469,8615078.95592069 3322344.94546469,8615279.55364309 3322232.75770045,8615434.84433275 3322488.31899852,8615470.68920879 3322559.94295942,8615628.31760775 3322619.65101562))",867.65,12.98,21910025,109977,19142,2322,1883,439,1454,0.1213,surplus present
Noida,Sector 49,5d4b9fb26182972a40a4,"POLYGON((8613863.12444224 3320120.00102266,8613644.49296232 3320516.46596674,8613406.82584948 3320936.89898777,8613298.17802646 3321130.32544381,8613271.90662664 3321145.91629605,8613240.84848871 3321151.87378099,8613185.85666025 3321127.9171024,8612933.94065259 3320993.05067784,8612839.5417244 3320933.34990469,8612663.99088741 3320786.44404451,8612312.88921345 3320504.55156715,8612235.18820888 3320454.35910697,8612274.59530862 3320381.47897703,8612294.96677543 3320300.36069194,8612305.65344655 3320235.84665801,8612298.52899914 3320048.26342025,8612280.60656112 3319852.44454345,8612423.87474578 3319835.71452026,8612489.66456483 3319823.80072866,8612568.47876431 3319826.20883461,8612646.0684494 3319811.7602054,8612741.5805725 3319768.7946373,8612815.60803388 3319710.24001507,8612880.17333854 3319626.71774107,8612974.46094724 3319451.18325484,8613074.87112793 3319256.51377446,8613159.58526043 3319132.18533863,8613302.96476457 3318998.47969996,8613618.2215625 3319312.53165418,8613689.91131457 3319459.54802272,8613836.85304241 3319826.20883461,8613839.19075172 3320017.21104414,8613863.12444224 3320120.00102266))",187.97,11.81,9297768,64595,9528,1301,937,364,1113,0.1365,surplus present
Gurgaon,Sector 102,96257073c54503aa6b37,"POLYGON((8567519.82473475 3308792.13887449,8567519.83932918 3308792.18403423,8568193.2819688 3310318.79844435,8568193.30283 3310318.83556381,8568193.33596085 3310318.80881703,8568805.33252696 3309718.52789905,8568805.33946354 3309718.52096042,8569416.22332425 3309095.345998,8569416.25131226 3309095.31125824,8569416.22313923 3309095.27666835,8568516.16159993 3308186.85589033,8568516.12733327 3308186.82734319,8568516.0871838 3308186.84676388,8567519.86254985 3308792.11019668,8567519.82473475 3308792.13887449))",229.64,12.17,1257701,7367,3381,478,256,222,248,0.1414,surplus present
Gurgaon,Sector 37D,f745c4c0226869fa87b8,"POLYGON((8569059.03314878 3307186.59267893,8567492.09999638 3306221.51001863,8567336.80930672 3305593.39532665,8567300.96443068 3305275.61419637,8567262.78184534 3304229.39526564,8567358.29396844 3303486.55854324,8567809.8058231 3303775.56118621,8568514.45819982 3304239.01646139,8568798.65685982 3304427.64393192,8569185.60340981 3304523.22463748,8569524.79389826 3304809.84424694,8569511.21292038 3304813.51565099,8569495.85083066 3304803.26104221,8569467.01908254 3304811.11024823,8569437.40809799 3304816.42745492,8569405.68204311 3304828.20127724,8569384.86529833 3304838.32930473,8569365.82966541 3304842.25391744,8569349.35438077 3304845.03912716,8569337.44319526 3304852.25535503,8569324.8640928 3304855.29376793,8569300.93040228 3304854.15436301,8569269.53830587 3304858.07898036,8569239.92732132 3304847.44453601,8569215.9936308 3304837.5697024,8569182.82042254 3304839.5953087,8569143.85860077 3304840.35491115,8569101.22323579 3304844.152924,8569065.48967925 3304841.87411616,8569011.83368469 3304857.44597748,8568960.29276045 3304867.9538291,8568921.44225816 3304877.19568131,8568862.77688651 3304889.34935967,8568811.34728177 3304903.52866504,8568770.15907017 3304919.22719921,8568728.63690011 3304938.47058879,8568669.86020897 3304968.98154604,8568617.5400483 3304991.26345086,8568558.87467665 3305022.40753905,8568500.54326347 3305051.39945859,8568428.96483089 3305093.05171488,8568356.16188391 3305131.79222759,8568299.94554106 3305168.38059251,8568242.39336432 3305200.79113075,8568176.26958679 3305240.54478868,8568120.6098414 3305274.34815117,8568066.73120785 3305307.89838933,8567993.5943024 3305349.42483826,8567928.02712232 3305389.68535987,8567868.35987526 3305425.76800569,8567814.7038807 3305457.67274193,8567757.93094039 3305515.02549468,8567698.70897129 3305572.88492243,8567592.84413554 3305672.14544216,8567570.3575984 3305981.453031,8567592.06489911 3306079.7036828,8567623.12303704 3306195.68089557,8567607.64962782 3306247.84564638,8567625.01546838 3306277.47328953,8567632.69651325 3306244.93353115,8567649.50575636 3306148.5808583,8567618.44761843 3306089.4528203,8567599.4119855 3305987.02392497,8567621.34192519 3305722.66223922,8567673.2168079 3305636.44195619,8567715.85217287 3305596.18069261,8567778.85900466 3305542.37258911,8567854.11098044 3305475.39762825,8567894.74259457 3305449.82315692,8567948.62122812 3305414.37347545,8568009.95826755 3305376.64498898,8568108.36469741 3305312.83597864,8568176.1582673 3305272.32247911,8568242.83864229 3305234.9742053,8568294.6022055 3305204.58924584,8568360.94862202 3305169.1402136,8568385.99550745 3305168.12738549,8568472.04547383 3305138.24899061,8568548.52196401 3305111.53573638,8568597.16858148 3305093.93793451,8568576.46315619 3305048.86741072,8568634.57193039 3305019.36908823,8568690.0090368 3304991.13684903,8568744.4442678 3304961.25884905,8568816.13401987 3304923.53163922,8568867.34098564 3304912.26413743,8568923.22337002 3304899.60403437,8568972.09262647 3304889.34935967,8569011.27708723 3304881.8799102,8569054.80300813 3304870.61244346,8569095.65726125 3304865.9282185,8569145.41707364 3304860.35779096,8569185.60340981 3304858.33218152,8569201.63341649 3304865.9282185,8569231.46704002 3304870.10604068,8569264.19497031 3304881.8799102,8569291.35692607 3304882.38631342,8569315.1792971 3304878.20848741,8569326.53388516 3304871.49864837,8569341.33937743 3304870.48584276,8569361.0429273 3304862.76320257,8569376.07105856 3304860.99079397,8569419.26302099 3304857.95237978,8569454.32866059 3304855.29376793,8569480.48874092 3304849.34354331,8569503.08659756 3304847.44453601,8569542.82765577 3304831.36628501,8569567.8745412 3304852.88835766,8569809.10387775 3304893.40058825,8569350.46757568 3306020.95578371,8569059.03314878 3307186.59267893))",255.39,11.04,917147,10180,4565,423,387,36,168,0.0927,surplus present
Gurgaon,Sector 89,2475ee745ec374a2d50e,"POLYGON((8564456.42396677 3302597.9402566,8564456.46574854 3302597.96078844,8564796.88570269 3302723.74182171,8564796.99881337 3302723.79176396,8564946.05517149 3302800.94818508,8564946.174252 3302800.99165568,8565337.95224241 3302889.58368101,8565530.53358095 3302931.3555379,8565530.54494436 3302931.357865,8565727.53170482 3302969.32323628,8565727.57480621 3302969.32768199,8565727.61802262 3302969.32454563,8565907.75245001 3302940.24334628,8565907.91231653 3302940.23056402,8565908.0721705 3302940.24350246,8565931.23917578 3302944.00684904,8565931.28611477 3302944.0096371,8565931.30484114 3302943.96650516,8566533.4022628 3301050.64622919,8566533.41161677 3301050.60313337,8566533.37663258 3301050.57628466,8565541.38123146 3300428.07209295,8565541.3391582 3300428.05142382,8565541.31368403 3300428.09077404,8564994.31640294 3301502.94469184,8564994.31003579 3301502.95699186,8564852.3866707 3301772.53434447,8564852.37569951 3301772.55649565,8564714.35478668 3302069.46352685,8564714.33368088 3302069.50623705,8564585.10914364 3302316.04192157,8564585.09715161 3302316.06640089,8564456.43885105 3302597.89614615,8564456.42396677 3302597.9402566))",388.36,11.23,21951324,31842,7486,554,566,-12,166,0.0740,surplus present
Gurgaon,Sector 104,0fb158487e3209be89b3,"POLYGON((8569445.98534579 3309097.46412903,8569446.01213332 3309097.49850684,8571524.05781535 3311299.76411623,8571524.08946003 3311299.79159259,8571524.10175584 3311299.75152827,8571528.78330964 3311276.46243501,8571528.83454257 3311276.28982171,8571528.91589886 3311276.12919383,8571529.02474093 3311275.98575895,8571529.15754009 3311275.86416724,8571529.30999098 3311275.76836072,8571627.3958589 3311225.8304555,8571657.86136067 3311210.26958975,8571657.89572735 3311210.24830973,8571657.9213822 3311210.21707297,8571857.89644221 3310921.27595411,8571857.99048348 3310921.15971617,8571933.73578396 3310840.6727337,8571933.75866871 3310840.64665964,8571957.62381595 3310811.47267137,8571957.75066558 3310811.34348878,8572043.61466428 3310738.45267501,8572043.62523893 3310738.44343951,8572080.04138771 3310705.72634538,8572080.24139883 3310705.58665584,8572098.01469557 3310696.16651317,8572098.05262309 3310696.14171309,8572098.08538996 3310696.11041021,8572134.41443389 3310654.39721821,8572134.50488553 3310654.30593373,8572197.06716303 3310598.80243471,8572197.20034293 3310598.70277532,8572303.96629134 3310531.89220949,8572304.02757264 3310531.85681563,8572378.10063389 3310492.50231322,8572378.16627703 3310492.46057491,8572454.48387346 3310435.1222275,8572454.51557777 3310435.09630932,8572487.96715831 3310405.38218094,8572488.00272013 3310405.34299006,8572488.02909186 3310405.29710869,8572497.43758821 3310383.88820789,8572497.51267521 3310383.74858302,8572512.42353013 3310360.62633665,8572512.6000765 3310360.42043549,8572522.44681726 3310351.67961177,8572522.64133131 3310351.54445371,8572522.86217736 3310351.45883573,8572533.93420651 3310348.61831742,8572533.97490801 3310348.60343694,8572533.95158083 3310348.56691457,8572244.33495169 3309981.32613829,8572244.32330825 3309981.31108163,8571356.90124483 3308810.89406414,8571356.87785336 3308810.86547267,8571213.66082186 3308648.44795375,8571213.57374911 3308648.36994398,8570649.91752752 3308251.92334351,8570649.88146408 3308251.90022298,8570272.56824335 3308032.22917307,8570272.52828523 3308032.21076701,8570272.50115431 3308032.24539861,8569899.87946934 3308614.89332419,8569899.76541526 3308615.0397064,8569446.0120794 3309097.42970927,8569445.98534579 3309097.46412903))",265.57,10.78,3994151,8748,3550,412,301,111,146,0.1161,surplus present
Noida,Sector 137,5df4eb2660d0207c62b9,"POLYGON((8617876.08076585 3313468.80181357,8616872.75819533 3314006.19807212,8616349.66790809 3313760.17381157,8616600.47072085 3313308.67660339,8616815.42865757 3313010.09381635,8617011.35096136 3312639.81988909,8616999.43977585 3312518.08650061,8616958.80816171 3312303.12400502,8616977.84379464 3312190.76725841,8617063.89376102 3312209.89443944,8617087.82745154 3312346.06555898,8617204.82423636 3312496.55209362,8617570.28612464 3312873.91593132,8617876.08076585 3313468.80181357))",111.72,9.7,1242713,17088,2854,257,281,-24,145,0.0900,surplus present
Noida,Sector 74,ed4a7ece4bfbf1b8f19c,"POLYGON((8614481.06523499 3322225.02568265,8614481.09175439 3322225.05984369,8614578.98690955 3322328.93770621,8614579.02033681 3322328.96692757,8614579.05607849 3322328.94058747,8614765.01987603 3322161.92208496,8614765.17055763 3322161.81039658,8614765.3394449 3322161.72881024,8614765.52059651 3322161.68019608,8614765.70763968 3322161.66626432,8614765.89399437 3322161.68750507,8614766.07310477 3322161.74317108,8614766.23866992 3322161.83130408,8614766.38486534 3322161.9488036,8614766.50654801 3322162.09153611,8614766.59943721 3322162.25448039,8614878.22562689 3322409.42264547,8614878.24956729 3322409.46375212,8614878.29623862 3322409.45454957,8615074.14374047 3322349.33167988,8615074.30898109 3322349.29590347,8615074.47788709 3322349.28847549,8615074.64563041 3322349.30960827,8615300.99134102 3322397.54360353,8615301.03075514 3322397.54811613,8615301.01434743 3322397.51199656,8615220.52340339 3322257.696105,8615220.44111089 3322257.51264147,8615220.39718489 3322257.31642365,8615220.39340136 3322257.11538482,8615220.42991326 3322256.91765317,8615220.50524439 3322256.73122317,8615220.61634904 3322256.56363236,8615220.75873515 3322256.42165658,8615220.92664591 3322256.31103605,8615221.11329254 3322256.23624327,8615343.95211926 3322220.85775439,8615344.0580081 3322220.81350602,8615449.49360182 3322161.66774515,8615449.53166698 3322161.64090742,8615449.51000872 3322161.59967465,8615387.42920299 3322068.18257541,8615387.33712386 3322068.00920591,8615387.2806878 3322067.82118857,8615387.26206962 3322067.62576874,8615387.28198677 3322067.43047702,8615393.86882373 3322034.92756394,8615393.87876014 3322034.82850431,8615393.87876014 3321884.07484732,8615393.88261276 3321883.98715234,8615439.51280749 3321365.66334593,8615439.53902218 3321365.50766755,8615446.18746388 3321339.01117331,8615446.19392307 3321338.9689389,8615446.1522019 3321338.95972959,8614639.40487958 3321239.08766846,8614639.36026528 3321239.08663149,8614639.36048186 3321239.13125732,8614660.94260393 3321444.34554475,8614660.94629861 3321444.50994445,8614648.92991935 3321645.06682339,8614648.92912303 3321645.10663126,8614653.71509796 3321886.29409101,8614653.71720655 3321886.33109307,8614672.80864443 3322088.8165846,8614672.80655957 3322089.02428859,8614672.76160988 3322089.22708114,8614672.67573471 3322089.41621271,8614672.55263919 3322089.58352317,8614672.3976343 3322089.72179384,8614570.12230148 3322163.41165994,8614570.10664915 3322163.42271128,8614481.09828869 3322224.99779522,8614481.06523499 3322225.02568265))",101.73,9.58,363894,4326,1277,236,126,110,134,0.1848,surplus present
Noida,Sector 78,bea49e8fda92e93b0916,"POLYGON((8615459.89121818 3320370.70542638,8614900.95605491 3320337.37084832,8614344.35860094 3320305.05032936,8614012.40387939 3320263.22389167,8613821.2683137 3320204.79384525,8614387.43924388 3319325.71236594,8614829.26630284 3319408.09210946,8615225.78632904 3319755.74022956,8615375.06576619 3319939.64379185,8615459.89121818 3320370.70542638))",30,13,136211,2266,938,155,92,63,125,0.1652,surplus present
Noida,Sector 89,62d6e375af34717fff76,"POLYGON((8618817.17574102 3315441.7677686,8618399.17105308 3315776.13538343,8617899.90313688 3315372.46260708,8617725.57681429 3315131.22770122,8618107.73662619 3314820.69485359,8618817.17574102 3315441.7677686))",73.96,13.25,909343,16109,2924,188,288,-100,114,0.0643,surplus present
Gurgaon,Sector 85,15c80ebb64fc90e96950,"POLYGON((8566488.88874535 3300909.22940904,8565578.74058862 3300394.37990735,8566153.81707806 3299032.30091441,8567177.95639336 3299490.27710187,8566822.06798129 3300196.19090061,8566488.88874535 3300909.22940904))",125.41,11.17,1165690,14405,4271,235,323,-88,110,0.0550,surplus present
