city_name,locality,locality_id,entity_id,project_name,longitude,lattitude,avg_price,target,active_days,impressions,clicks,sessions,paid_leads,expected_leads,project_conversion,avg_conversion,avg_sessions,avg_bhk,gap,project_demand_status
Noida,Sector 73,6b6b6c204323f2ed6253,295631,Aashi Modern Apartment 2,77.38703918,28.58578491,3229000,63.1,14,501281,8060,2834,521,339,0.18,0.12,742.87,2,458,surplus
Noida,Sector 49,5d4b9fb26182972a40a4,347046,Avexa Homes 4,77.37313843,28.56796837,3999410,44.72,14,4090243,30108,4342,486,552,0.11,0.13,930.38,2,441,surplus
Noida,Sector 49,5d4b9fb26182972a40a4,347890,SL Apartment,77.37780762,28.56138039,3400000,20.91,13.5,4126440,23737,2688,342,342,0.13,0.13,930.38,2,321,surplus
Noida,Sector 73,6b6b6c204323f2ed6253,341430,RN Elite Apartment,77.38682556,28.58924103,4749400,76.33,13.5,10060435,35731,4036,305,482,0.08,0.12,742.87,2.5,229,surplus
Gurgaon,Sector 104,0fb158487e3209be89b3,3195,Godrej Summit,77.00055695,28.4837265,16689411,11.74,13,3493148,6140,1272,201,128,0.16,0.10,365.23,3,189,surplus
Gurgaon,Sector 102,96257073c54503aa6b37,202701,Shapoorji Pallonji Joyville Gurugram Phase III,76.9776535,28.47429085,14478500,4.47,10.5,668649,1987,596,187,67,0.31,0.11,308.88,3,183,surplus
Gurgaon,Sector 89,2475ee745ec374a2d50e,230461,Signature Global Proxima,76.94499969,28.41749954,7310670,18.09,14,4481283,11575,2164,176,155,0.08,0.07,615.89,2,158,surplus
Noida,Sector 49,5d4b9fb26182972a40a4,251492,Hark Sai Enclave,77.37613678,28.56196976,1533525,12,4.5,443370,3083,657,151,74,0.23,0.11,913.83,1.5,139,surplus
Gurgaon,Sector 85,15c80ebb64fc90e96950,182173,Pyramid Heights,76.95080566,28.40366173,5799488,45.58,14.5,1028178,11909,3519,174,218,0.05,0.06,609.05,1.5,128,surplus
Noida,Sector 73,6b6b6c204323f2ed6253,326098,JMD Siddh Appartment,77.38522339,28.58599091,6499850,23.55,14,184484,1356,541,148,58,0.27,0.11,504.73,3.5,124,surplus
